,opto_stim,wheel_velocity,nose,paw_l,paw_r,tongue_end_l,tongue_end_r,motion_energy_body,motion_energy_left,motion_energy_right,pupil_diameter
4,0.03676487055801447,0.07367913016822658,0.08504639456029428,0.09270215369082835,0.09776126251582729,0.10304714795268943,0.10772406665193579,0.11073011249528664,0.1134101390347304,0.11631999215448441,0.11771138870078923
7,0.07328648591058928,0.11124980965919107,0.12019600212890291,0.12591778392103192,0.13135661894319683,0.13398493261768551,0.13548620369182085,0.13698017645887006,0.14013988905072972,0.1450569346967202,0.14532355779087003
8,0.1516717884510621,0.19338861982004618,0.2049814467421135,0.21364870274898262,0.21812719226512223,0.22051133666364664,0.22733634684036075,0.22928312875844326,0.23114694819814818,0.23266242717047936,0.2333901566324298
27,0.02925504945004087,0.04666098121816009,0.059836985900011075,0.07218964600768807,0.08524204693957582,0.091400342909292,0.09587870339820126,0.09990943015721365,0.10363846371477814,0.10688168038213353,0.10842672635159656
31,0.026576930883233207,0.033320441349178664,0.0377749672381158,0.041850816079128994,0.04511600977223773,0.04863943768028711,0.05118735279871278,0.05305475885091593,0.05510078874824631,0.055750235979641016,0.056921466660558084
45,0.02439282718303759,0.03893443076410885,0.04648981821205578,0.05701034823548157,0.062409400672728266,0.06617404325756637,0.06941208099370733,0.07222713711482043,0.07297382370366301,0.0736950234681043,0.07430125296951107
48,0.444423736933787,0.514181056489758,0.5299178027169504,0.5448367954375184,0.55538684001573,0.5592060126368147,0.5608218113741821,0.5616323478122698,0.5623315011845376,0.5666649724473711,0.567049028805716
53,0.3576254570684917,0.455943389265299,0.4770221198120501,0.4881598788791227,0.49507465507291926,0.4997001942515962,0.5040575188552634,0.5050673610154415,0.5119021873772704,0.5125328956813797,0.5128510875822878
63,0.4112728658576592,0.480858085341608,0.4908727652794066,0.5016553768767982,0.5074773207270479,0.5123914917225534,0.520155690773791,0.5246450933023135,0.5283577810671656,0.5308275627231269,0.5326574889277074
66,0.14199326840461224,0.18068197937060992,0.1885049726887439,0.19550313566798772,0.1997090741751163,0.20358010062433884,0.20801047795685745,0.211047815747471,0.21300794839696624,0.21509961671774835,0.2170909992725969
71,0.03531722246724911,0.04297560273650036,0.04924647941711002,0.05459179039199025,0.05804944872215756,0.06109506207629545,0.06312794349773665,0.065259319071297,0.06731323605287232,0.06877280744889458,0.06951375006146487
73,0.23718761288956625,0.2772564093183877,0.30365242172846996,0.31693295072600525,0.3258474036125727,0.3378196835206474,0.3446791103375081,0.3498132092622791,0.35462425487621196,0.35644511873611207,0.3580784800397506
75,0.3821097261034747,0.40290609915751086,0.4167668000854706,0.4299962688658744,0.43759805904367743,0.44210743641404504,0.44636320216194414,0.44908849784715543,0.4500094039698993,0.45169398283062057,0.4526459069106893
79,0.06506080631671951,0.09446454135316373,0.11188488077428893,0.12411100829699317,0.13456690350089895,0.14231095480693212,0.1466896088530164,0.1511882624988602,0.15552566695971703,0.1599171741558455,0.16321423056959927
92,0.009002224472908882,0.014721975957052047,0.019573902936132037,0.02561520319450339,0.029248229830704964,0.03205925318455838,0.03508913840984795,0.03642941724691051,0.03722901760012076,0.037407325066739716,0.03903077852421166
94,0.08421953796782866,0.10261150662884966,0.1317371476853717,0.15199530719654852,0.1618846248516893,0.16798154538642784,0.1725071286027352,0.17657029946732739,0.1785960019476811,0.18000211368063723,0.18098242497537076
95,0.21618218766195563,0.2805510168983356,0.3057904135092795,0.3288615446920855,0.3489160918458112,0.3585576975360092,0.363599330169348,0.3695787986278476,0.37436916518833196,0.37603023358732446,0.37740412408050916
110,0.07581450708157889,0.11013212547135465,0.12342004110801263,0.15476959475302055,0.15967676423100574,0.16477665302457867,0.16809922947615685,0.16966324045546566,0.17232133401769723,0.17388826748805808,0.1750931380386921
113,0.0926296368410503,0.11181449784237074,0.12873887002983386,0.1516324322692838,0.1643774096519086,0.17588779078406946,0.1897368786969411,0.20148490466781288,0.20652190687898475,0.21027023769038256,0.21061254720826406
124,0.03961402785808277,0.054932082126247894,0.07083714181242173,0.08270320013563914,0.0918448846454113,0.09545444494539623,0.09875169115993754,0.10155537470323017,0.10347201784330196,0.1052279087613135,0.10635285372992753
145,0.009716279684069629,0.014147759955991934,0.018636358599549707,0.02055461801844327,0.02213541167603328,0.023704021786636553,0.025738912936928537,0.02754636882170136,0.028914466714590192,0.029823687228468954,0.030691312635188872
168,0.15891637350548626,0.17537585407573753,0.18447508430219595,0.19428476674738415,0.20141372289046,0.20798002713288466,0.21314904926527078,0.22078040510166375,0.22553882185359175,0.22867519790698032,0.23160479273154222
176,0.08556978862691478,0.13424965482564155,0.14456688697221876,0.15443840730240455,0.16297211974264025,0.17078588473093126,0.17909791727764623,0.18585589918036083,0.18932476308067003,0.1929686622654636,0.19512245443177967
178,0.006094520677140891,0.009289466971731497,0.011207478888382139,0.013617000870740803,0.015113584461590501,0.016217561934313007,0.017254705361379075,0.018120869642964443,0.018819189290486094,0.019346942019878077,0.01979498905474608
183,0.18010846069569442,0.23286007408104048,0.27554465451685106,0.3046976002120043,0.3334525809546003,0.34880537705155934,0.3633789623053143,0.3761805828544075,0.38173387883672216,0.38487451494064184,0.3878388656570786
