,0,1,2,3,4,5,6,7,8,9,10
4,motion_energy_left,tongue_end_l,pupil_diameter,motion_energy_body,motion_energy_right,nose,opto_stim,paw_l,wheel_velocity,paw_r,tongue_end_r
7,motion_energy_body,motion_energy_left,motion_energy_right,wheel_velocity,nose,paw_r,paw_l,pupil_diameter,tongue_end_l,tongue_end_r,opto_stim
8,motion_energy_body,motion_energy_left,wheel_velocity,motion_energy_right,pupil_diameter,tongue_end_l,tongue_end_r,nose,paw_l,paw_r,opto_stim
27,motion_energy_left,nose,tongue_end_l,motion_energy_right,pupil_diameter,wheel_velocity,paw_l,motion_energy_body,opto_stim,paw_r,tongue_end_r
31,wheel_velocity,motion_energy_body,paw_l,opto_stim,nose,motion_energy_right,paw_r,motion_energy_left,tongue_end_l,pupil_diameter,tongue_end_r
45,tongue_end_l,wheel_velocity,motion_energy_body,motion_energy_right,nose,tongue_end_r,motion_energy_left,pupil_diameter,opto_stim,paw_r,paw_l
48,wheel_velocity,motion_energy_body,nose,motion_energy_right,paw_r,pupil_diameter,motion_energy_left,opto_stim,tongue_end_r,tongue_end_l,paw_l
53,wheel_velocity,motion_energy_right,nose,motion_energy_body,motion_energy_left,paw_r,pupil_diameter,tongue_end_r,tongue_end_l,opto_stim,paw_l
63,motion_energy_right,tongue_end_r,motion_energy_body,motion_energy_left,nose,tongue_end_l,pupil_diameter,wheel_velocity,opto_stim,paw_r,paw_l
66,motion_energy_left,tongue_end_r,pupil_diameter,tongue_end_l,paw_l,motion_energy_right,wheel_velocity,opto_stim,nose,motion_energy_body,paw_r
71,motion_energy_left,pupil_diameter,wheel_velocity,paw_l,motion_energy_right,motion_energy_body,nose,tongue_end_r,paw_r,tongue_end_l,opto_stim
73,motion_energy_right,wheel_velocity,motion_energy_body,motion_energy_left,tongue_end_r,tongue_end_l,nose,pupil_diameter,paw_r,opto_stim,paw_l
75,motion_energy_left,pupil_diameter,motion_energy_right,wheel_velocity,motion_energy_body,nose,opto_stim,paw_r,tongue_end_r,tongue_end_l,paw_l
79,motion_energy_right,tongue_end_r,motion_energy_left,wheel_velocity,motion_energy_body,pupil_diameter,opto_stim,tongue_end_l,nose,paw_r,paw_l
92,wheel_velocity,paw_r,motion_energy_right,motion_energy_left,opto_stim,pupil_diameter,motion_energy_body,nose,paw_l,tongue_end_l,tongue_end_r
94,motion_energy_left,pupil_diameter,tongue_end_r,motion_energy_right,nose,tongue_end_l,motion_energy_body,paw_r,wheel_velocity,paw_l,opto_stim
95,wheel_velocity,motion_energy_body,paw_r,motion_energy_right,nose,motion_energy_left,tongue_end_r,tongue_end_l,pupil_diameter,opto_stim,paw_l
110,wheel_velocity,nose,motion_energy_body,motion_energy_right,motion_energy_left,paw_r,pupil_diameter,tongue_end_r,tongue_end_l,opto_stim,paw_l
113,nose,tongue_end_r,motion_energy_right,motion_energy_body,opto_stim,pupil_diameter,tongue_end_l,wheel_velocity,paw_r,motion_energy_left,paw_l
124,motion_energy_body,tongue_end_l,opto_stim,pupil_diameter,motion_energy_left,motion_energy_right,tongue_end_r,wheel_velocity,paw_r,paw_l,nose
145,opto_stim,motion_energy_left,wheel_velocity,paw_r,nose,pupil_diameter,motion_energy_right,tongue_end_l,paw_l,tongue_end_r,motion_energy_body
168,motion_energy_left,wheel_velocity,tongue_end_r,paw_l,motion_energy_right,motion_energy_body,pupil_diameter,tongue_end_l,paw_r,nose,opto_stim
176,wheel_velocity,motion_energy_body,paw_r,motion_energy_right,nose,motion_energy_left,tongue_end_l,pupil_diameter,paw_l,tongue_end_r,opto_stim
178,opto_stim,nose,tongue_end_r,motion_energy_body,motion_energy_right,tongue_end_l,motion_energy_left,pupil_diameter,paw_r,paw_l,wheel_velocity
183,motion_energy_body,opto_stim,tongue_end_r,pupil_diameter,tongue_end_l,wheel_velocity,motion_energy_left,paw_l,motion_energy_right,nose,paw_r
215,paw_l,motion_energy_body,motion_energy_right,pupil_diameter,tongue_end_r,tongue_end_l,motion_energy_left,opto_stim,paw_r,nose,wheel_velocity
231,wheel_velocity,opto_stim,motion_energy_right,motion_energy_body,tongue_end_r,motion_energy_left,nose,paw_r,pupil_diameter,tongue_end_l,paw_l
240,motion_energy_body,wheel_velocity,pupil_diameter,motion_energy_right,nose,paw_r,opto_stim,tongue_end_l,tongue_end_r,motion_energy_left,paw_l
247,nose,motion_energy_right,motion_energy_body,tongue_end_r,pupil_diameter,tongue_end_l,wheel_velocity,paw_r,motion_energy_left,paw_l,opto_stim
249,paw_l,tongue_end_l,motion_energy_body,tongue_end_r,motion_energy_right,motion_energy_left,nose,wheel_velocity,opto_stim,paw_r,pupil_diameter
252,motion_energy_left,pupil_diameter,motion_energy_body,tongue_end_r,paw_l,motion_energy_right,tongue_end_l,opto_stim,nose,paw_r,wheel_velocity
260,wheel_velocity,paw_r,paw_l,pupil_diameter,nose,motion_energy_right,motion_energy_body,motion_energy_left,opto_stim,tongue_end_r,tongue_end_l
