,opto_stim,wheel_velocity,nose,paw_l,paw_r,tongue_end_l,tongue_end_r,motion_energy_body,motion_energy_left,motion_energy_right,pupil_diameter,score,acronym
10,0.012952885364076905,0.023887980871398318,0.025733815088880063,0.027051672621293266,0.02790374526175865,0.02830886994154469,0.028714614302514208,0.028925013006198097,0.028925013006198985,0.02892501300620065,0.028925013006199762,0.028925013006199762,OLF
13,0.020219670583386695,0.030657825115324555,0.0387497526254289,0.04377372700488247,0.04716426021024267,0.04995924973241972,0.05158751758840174,0.05159393849392335,0.051593938493924685,0.05159393849392757,0.051593938493922464,0.051593938493922464,OLF
14,0.08377864350428899,0.09094186368348223,0.09747114679730817,0.10145119410496317,0.10313420627978676,0.10480639440611628,0.1056978540054535,0.10583792002066483,0.10583792002066517,0.10583792002066594,0.10583792002066728,0.10583792002066728,OLF
18,0.10081498563523039,0.12608411362743943,0.1450382648247469,0.15537863845625144,0.16118417205045066,0.16579507443657016,0.169700917165571,0.16987314419861554,0.16987314419860922,0.1698731441986151,0.16987314419860822,0.16987314419860822,OLF
24,0.026147114855160636,0.03187404716261488,0.03686588770621424,0.04068037256772705,0.045434324308673446,0.04732384734811268,0.049088759819247985,0.05013860734676501,0.050138607346762565,0.05013860734676401,0.050138607346762565,0.050138607346762565,OLF
45,0.02136778222164082,0.04325819573422385,0.047846308008972604,0.04949113328943844,0.050993007043206195,0.05242769273040926,0.05339555526104145,0.05404129628561427,0.05404129628561216,0.054041296285611384,0.05404129628561327,0.05404129628561327,ORBm2/3
55,0.005129372789324127,0.009907798752212815,0.012714068147021695,0.016192046102815993,0.01735807806352152,0.01850613337369178,0.018885214290434327,0.01912092877081306,0.019120928770816614,0.019120928770815837,0.019120928770814838,0.019120928770814838,ORBm2/3
56,0.004857430843636101,0.00951338315317718,0.01232316129801958,0.015647545136009855,0.01692248526487594,0.018075183381840554,0.018449395961503967,0.018676608763530944,0.01867660876352939,0.018676608763530056,0.018676608763528946,0.018676608763528946,ORBm2/3
59,0.008325821309506098,0.014292238157552761,0.02002890919857514,0.024893619041447934,0.029785181332531274,0.0329445142353727,0.035397096190392996,0.035586287235207625,0.03558628723520574,0.035586287235208625,0.035586287235207736,0.035586287235207736,ORBm2/3
60,0.004299144976015357,0.007547914674472911,0.008263531571914284,0.008603054118582976,0.008912080195750405,0.009179384028556115,0.009278741434180171,0.009364011115501447,0.009364011115502224,0.009364011115501447,0.00936401111550167,0.00936401111550167,ORBm2/3
70,0.050637063290085216,0.06096702045902469,0.06517963440600971,0.06812829572999779,0.07436802190814307,0.07720009466247513,0.07913290508117121,0.07927512384849711,0.079275123848491,0.07927512384849167,0.079275123848496,0.079275123848496,ORBm2/3
72,0.00315582872130471,0.0055159262324872005,0.007475178469505739,0.008617628409587907,0.009608885048785432,0.010435399354677743,0.010685978870572321,0.01091389772856044,0.010913897728559885,0.01091389772856044,0.010913897728559774,0.010913897728559774,ORBm2/3
76,0.017079656403844012,0.028586340809805155,0.049777618480959185,0.05966833922806658,0.06672195998977593,0.07010878635389217,0.07231971592114772,0.07407002820489317,0.07407002820489217,0.07407002820489461,0.07407002820489383,0.07407002820489383,ORBm2/3
77,0.0035106112565075343,0.007333811341631358,0.01008884355288664,0.012483744200639246,0.01400112093599759,0.014970904164781196,0.015326852666509572,0.01539669004768296,0.015396690047683848,0.01539669004768196,0.015396690047682182,0.015396690047682182,ORBm2/3
80,0.004837201862819884,0.00896212869563695,0.011982435838634675,0.014246848009125013,0.016382105319135087,0.01770143002737179,0.01858271999043759,0.01920445745989896,0.019204457459899626,0.019204457459899738,0.019204457459899515,0.019204457459899515,ORBm2/3
82,0.004581956391650377,0.007911609706479084,0.011671526990328807,0.013253066083299903,0.014268528511104606,0.014748226769191852,0.014989455584749622,0.015177158270407554,0.015177158270409219,0.015177158270409885,0.015177158270407887,0.015177158270407887,ORBm2/3
95,0.010402987760448124,0.017265435273791097,0.020413761538203845,0.023271819713343467,0.025338288019629784,0.026696831454698366,0.027628031410475873,0.027655240076630894,0.02765524007663156,0.02765524007662845,0.027655240076631893,0.027655240076631893,ORBm5
96,0.02719716374775949,0.046571637912716235,0.04929822992562549,0.05082312010069889,0.052157503374313574,0.05358808763075307,0.054602904336810365,0.055381880684181595,0.05538188068418193,0.055381880684180596,0.05538188068418137,0.05538188068418137,ORBm2/3
97,0.006675481392408034,0.011582700183711991,0.0167749049260143,0.021121822661725798,0.0246946731269565,0.027855165462608467,0.030124746621842613,0.030362360031442326,0.03036236003144399,0.030362360031444657,0.030362360031446656,0.030362360031446656,ORBm2/3
98,0.009289561456073181,0.013955390158370773,0.017954968596411214,0.021152977072692702,0.023160906028242056,0.025163674080016185,0.026743595183041813,0.02680614068616982,0.02680614068616638,0.026806140686172486,0.0268061406861696,0.0268061406861696,ORBm2/3
