Hz,region,baseline,stim,ratio,subject,date,probe
2.44140625,BC,-215.88608,-218.33298,1.003618,ZFM-03330,2022-02-18,probe00
2.44140625,Pir,-217.70482,-225.3196,0.97983253,ZFM-03330,2022-02-18,probe00
2.44140625,Str,-220.65794,-221.63864,0.96787655,ZFM-03330,2022-02-18,probe00
4.8828125,BC,-215.70578,-220.03287,0.9854479,ZFM-03330,2022-02-18,probe00
4.8828125,Pir,-222.10944,-221.92352,0.9932152,ZFM-03330,2022-02-18,probe00
4.8828125,Str,-217.7135,-224.40512,0.9656801,ZFM-03330,2022-02-18,probe00
7.32421875,BC,-216.49503,-222.22409,0.9723226,ZFM-03330,2022-02-18,probe00
7.32421875,Pir,-222.90445,-225.3712,0.98852754,ZFM-03330,2022-02-18,probe00
7.32421875,Str,-222.60728,-224.34601,0.99398243,ZFM-03330,2022-02-18,probe00
9.765625,BC,-225.8226,-230.60138,0.9774485,ZFM-03330,2022-02-18,probe00
9.765625,Pir,-228.98233,-232.09341,0.98945993,ZFM-03330,2022-02-18,probe00
9.765625,Str,-227.63474,-229.8592,0.9929346,ZFM-03330,2022-02-18,probe00
12.20703125,BC,-229.63765,-235.55365,0.96793735,ZFM-03330,2022-02-18,probe00
12.20703125,Pir,-232.95618,-236.53583,0.98799384,ZFM-03330,2022-02-18,probe00
12.20703125,Str,-233.5664,-236.56088,0.99263614,ZFM-03330,2022-02-18,probe00
14.6484375,BC,-236.8782,-234.51709,1.0100948,ZFM-03330,2022-02-18,probe00
14.6484375,Pir,-238.52414,-237.07587,1.0106831,ZFM-03330,2022-02-18,probe00
14.6484375,Str,-238.8748,-237.33432,1.0040631,ZFM-03330,2022-02-18,probe00
17.08984375,BC,-238.80562,-238.38715,0.9997747,ZFM-03330,2022-02-18,probe00
17.08984375,Pir,-242.56119,-237.54027,1.0213878,ZFM-03330,2022-02-18,probe00
17.08984375,Str,-241.99754,-237.44089,1.0049005,ZFM-03330,2022-02-18,probe00
19.53125,BC,-239.8093,-244.14067,0.9875974,ZFM-03330,2022-02-18,probe00
19.53125,Pir,-240.53996,-238.71419,0.9982688,ZFM-03330,2022-02-18,probe00
19.53125,Str,-239.6701,-239.23576,0.9960032,ZFM-03330,2022-02-18,probe00
21.97265625,BC,-241.62021,-245.83276,0.99148846,ZFM-03330,2022-02-18,probe00
