,subject,date,eid,region_1,region_2,region_pair,r_opto,r_baseline,time
0,ZFM-02601,2021-11-19,066bf23b-17a9-4a0a-84ac-097776a2ea4a,PAG,Raphe,PAG-Raphe,0.20079042452259216,-0.08948906065299422,-0.9
1,ZFM-02601,2021-11-19,066bf23b-17a9-4a0a-84ac-097776a2ea4a,PAG,Raphe,PAG-Raphe,0.14478546934941378,-0.1454940158261726,-0.7000000000000001
2,ZFM-02601,2021-11-19,066bf23b-17a9-4a0a-84ac-097776a2ea4a,PAG,Raphe,PAG-Raphe,0.3779308887096077,0.08765140353402134,-0.5
3,ZFM-02601,2021-11-19,066bf23b-17a9-4a0a-84ac-097776a2ea4a,PAG,Raphe,PAG-Raphe,0.31538661263274664,0.02510712745716026,-0.30000000000000004
4,ZFM-02601,2021-11-19,066bf23b-17a9-4a0a-84ac-097776a2ea4a,PAG,Raphe,PAG-Raphe,0.4125040306635715,0.12222454548798511,-0.1
5,ZFM-02601,2021-11-19,066bf23b-17a9-4a0a-84ac-097776a2ea4a,PAG,Raphe,PAG-Raphe,0.3566211784952046,0.0663416933196182,0.1
6,ZFM-02601,2021-11-19,066bf23b-17a9-4a0a-84ac-097776a2ea4a,PAG,Raphe,PAG-Raphe,0.24912861231284203,-0.04115087286274435,0.30000000000000004
7,ZFM-02601,2021-11-19,066bf23b-17a9-4a0a-84ac-097776a2ea4a,PAG,Raphe,PAG-Raphe,0.19860092286894576,-0.09167856230664062,0.5
8,ZFM-02601,2021-11-19,066bf23b-17a9-4a0a-84ac-097776a2ea4a,PAG,Raphe,PAG-Raphe,0.2739708665463765,-0.016308618629209903,0.7000000000000001
9,ZFM-02601,2021-11-19,066bf23b-17a9-4a0a-84ac-097776a2ea4a,PAG,Raphe,PAG-Raphe,0.1858215264139175,-0.10445795876166888,0.9
10,ZFM-02601,2021-11-19,066bf23b-17a9-4a0a-84ac-097776a2ea4a,PAG,Raphe,PAG-Raphe,0.16924220009457977,-0.12103728508100661,1.1
11,ZFM-02601,2021-11-19,066bf23b-17a9-4a0a-84ac-097776a2ea4a,PAG,Raphe,PAG-Raphe,0.09665813897971401,-0.19362134619587237,1.3000000000000003
12,ZFM-02601,2021-11-19,066bf23b-17a9-4a0a-84ac-097776a2ea4a,PAG,Raphe,PAG-Raphe,0.179097951817945,-0.11118153335764139,1.5
13,ZFM-02601,2021-11-19,066bf23b-17a9-4a0a-84ac-097776a2ea4a,PAG,Raphe,PAG-Raphe,0.18065703014024656,-0.10962245503533982,1.7000000000000002
14,ZFM-02601,2021-11-19,066bf23b-17a9-4a0a-84ac-097776a2ea4a,PAG,Raphe,PAG-Raphe,0.25546223631013676,-0.034817248865449624,1.9
15,ZFM-02601,2021-11-19,066bf23b-17a9-4a0a-84ac-097776a2ea4a,PAG,Raphe,PAG-Raphe,0.13283870423592087,-0.15744078093966551,2.1
16,ZFM-02601,2021-11-19,066bf23b-17a9-4a0a-84ac-097776a2ea4a,PAG,Raphe,PAG-Raphe,0.3014015385931421,0.011122053417555733,2.3000000000000003
17,ZFM-02601,2021-11-19,066bf23b-17a9-4a0a-84ac-097776a2ea4a,PAG,Raphe,PAG-Raphe,0.28344224719098415,-0.006837237984602229,2.5
18,ZFM-02601,2021-11-19,066bf23b-17a9-4a0a-84ac-097776a2ea4a,PAG,Raphe,PAG-Raphe,0.2047309618512765,-0.08554852332430987,2.7
19,ZFM-02601,2021-11-19,066bf23b-17a9-4a0a-84ac-097776a2ea4a,PAG,Raphe,PAG-Raphe,0.21264163963842342,-0.07763784553716296,2.9000000000000004
20,ZFM-03332,2022-02-16,0d04401a-2e75-4449-b699-252000ed2b76,M2,ORB,M2-ORB,0.41865411304197,-0.01815309214682137,-0.9
21,ZFM-03332,2022-02-16,0d04401a-2e75-4449-b699-252000ed2b76,M2,ORB,M2-ORB,0.4966194157720028,0.059812210583211456,-0.7000000000000001
22,ZFM-03332,2022-02-16,0d04401a-2e75-4449-b699-252000ed2b76,M2,ORB,M2-ORB,0.41645148605124405,-0.0203557191375473,-0.5
23,ZFM-03332,2022-02-16,0d04401a-2e75-4449-b699-252000ed2b76,M2,ORB,M2-ORB,0.49222824257777587,0.05542103738898452,-0.30000000000000004
24,ZFM-03332,2022-02-16,0d04401a-2e75-4449-b699-252000ed2b76,M2,ORB,M2-ORB,0.3600827685009641,-0.07672443668782725,-0.1
25,ZFM-03332,2022-02-16,0d04401a-2e75-4449-b699-252000ed2b76,M2,ORB,M2-ORB,0.5263313542597257,0.08952414907093431,0.1
26,ZFM-03332,2022-02-16,0d04401a-2e75-4449-b699-252000ed2b76,M2,ORB,M2-ORB,0.5165545157368943,0.07974731054810291,0.30000000000000004
27,ZFM-03332,2022-02-16,0d04401a-2e75-4449-b699-252000ed2b76,M2,ORB,M2-ORB,0.10890849543966384,-0.3278987097491275,0.5
28,ZFM-03332,2022-02-16,0d04401a-2e75-4449-b699-252000ed2b76,M2,ORB,M2-ORB,0.34512229069492584,-0.09168491449386551,0.7000000000000001
29,ZFM-03332,2022-02-16,0d04401a-2e75-4449-b699-252000ed2b76,M2,ORB,M2-ORB,0.43477511005575,-0.0020320951330413672,0.9
30,ZFM-03332,2022-02-16,0d04401a-2e75-4449-b699-252000ed2b76,M2,ORB,M2-ORB,0.4864880934555188,0.04968088826672745,1.1
31,ZFM-03332,2022-02-16,0d04401a-2e75-4449-b699-252000ed2b76,M2,ORB,M2-ORB,0.3760803748813688,-0.06072683030742254,1.3000000000000003
32,ZFM-03332,2022-02-16,0d04401a-2e75-4449-b699-252000ed2b76,M2,ORB,M2-ORB,0.30393564326057304,-0.1328715619282183,1.5
33,ZFM-03332,2022-02-16,0d04401a-2e75-4449-b699-252000ed2b76,M2,ORB,M2-ORB,0.4367645832101042,-4.2621978687151785e-05,1.7000000000000002
34,ZFM-03332,2022-02-16,0d04401a-2e75-4449-b699-252000ed2b76,M2,ORB,M2-ORB,0.4169977141268447,-0.019809491061946627,1.9
35,ZFM-03332,2022-02-16,0d04401a-2e75-4449-b699-252000ed2b76,M2,ORB,M2-ORB,0.3298222524454807,-0.10698495274331066,2.1
36,ZFM-03332,2022-02-16,0d04401a-2e75-4449-b699-252000ed2b76,M2,ORB,M2-ORB,0.2624139655775383,-0.17439323961125303,2.3000000000000003
37,ZFM-03332,2022-02-16,0d04401a-2e75-4449-b699-252000ed2b76,M2,ORB,M2-ORB,0.39261638671834953,-0.04419081847044182,2.5
38,ZFM-03332,2022-02-16,0d04401a-2e75-4449-b699-252000ed2b76,M2,ORB,M2-ORB,0.4597671178139355,0.02295991262514413,2.7
39,ZFM-03332,2022-02-16,0d04401a-2e75-4449-b699-252000ed2b76,M2,ORB,M2-ORB,0.4543570529562265,0.01754984776743518,2.9000000000000004
