,subject,date,eid,region_1,region_2,region_pair,r_opto,r_baseline,time
0,ZFM-03332,2022-02-16,0d04401a-2e75-4449-b699-252000ed2b76,M2,ORB,M2-ORB,0.43360157383801345,0.05426531273998675,-0.9750000000000001
1,ZFM-03332,2022-02-16,0d04401a-2e75-4449-b699-252000ed2b76,M2,ORB,M2-ORB,0.40917719379897577,0.029840932700949063,-0.925
2,ZFM-03332,2022-02-16,0d04401a-2e75-4449-b699-252000ed2b76,M2,ORB,M2-ORB,0.40970126261706197,0.030365001519035262,-0.875
3,ZFM-03332,2022-02-16,0d04401a-2e75-4449-b699-252000ed2b76,M2,ORB,M2-ORB,0.4849778553331736,0.10564159423514691,-0.8250000000000001
4,ZFM-03332,2022-02-16,0d04401a-2e75-4449-b699-252000ed2b76,M2,ORB,M2-ORB,0.49434090051331003,0.11500463941528333,-0.775
5,ZFM-03332,2022-02-16,0d04401a-2e75-4449-b699-252000ed2b76,M2,ORB,M2-ORB,0.5040914352848404,0.12475517418681364,-0.7250000000000001
6,ZFM-03332,2022-02-16,0d04401a-2e75-4449-b699-252000ed2b76,M2,ORB,M2-ORB,0.48401196834767535,0.10467570724964864,-0.675
7,ZFM-03332,2022-02-16,0d04401a-2e75-4449-b699-252000ed2b76,M2,ORB,M2-ORB,0.3360619915143218,-0.043274269583704894,-0.625
8,ZFM-03332,2022-02-16,0d04401a-2e75-4449-b699-252000ed2b76,M2,ORB,M2-ORB,0.31873232812381747,-0.06060393297420924,-0.5750000000000001
9,ZFM-03332,2022-02-16,0d04401a-2e75-4449-b699-252000ed2b76,M2,ORB,M2-ORB,0.27906813806478786,-0.10026812303323884,-0.525
10,ZFM-03332,2022-02-16,0d04401a-2e75-4449-b699-252000ed2b76,M2,ORB,M2-ORB,0.3423793721239086,-0.036956888974118085,-0.475
11,ZFM-03332,2022-02-16,0d04401a-2e75-4449-b699-252000ed2b76,M2,ORB,M2-ORB,0.34300555645354464,-0.03633070464448207,-0.42500000000000004
12,ZFM-03332,2022-02-16,0d04401a-2e75-4449-b699-252000ed2b76,M2,ORB,M2-ORB,0.4296828152848909,0.05034655418686418,-0.375
13,ZFM-03332,2022-02-16,0d04401a-2e75-4449-b699-252000ed2b76,M2,ORB,M2-ORB,0.4333847982875718,0.05404853718954511,-0.32500000000000007
14,ZFM-03332,2022-02-16,0d04401a-2e75-4449-b699-252000ed2b76,M2,ORB,M2-ORB,0.3778870532551899,-0.0014492078428368083,-0.275
15,ZFM-03332,2022-02-16,0d04401a-2e75-4449-b699-252000ed2b76,M2,ORB,M2-ORB,0.3140101334576883,-0.0653261276403384,-0.225
16,ZFM-03332,2022-02-16,0d04401a-2e75-4449-b699-252000ed2b76,M2,ORB,M2-ORB,0.2617302933591267,-0.11760596773890003,-0.17500000000000002
17,ZFM-03332,2022-02-16,0d04401a-2e75-4449-b699-252000ed2b76,M2,ORB,M2-ORB,0.2773669874715182,-0.10196927362650848,-0.125
18,ZFM-03332,2022-02-16,0d04401a-2e75-4449-b699-252000ed2b76,M2,ORB,M2-ORB,0.33490933581872745,-0.044426925279299256,-0.07500000000000001
19,ZFM-03332,2022-02-16,0d04401a-2e75-4449-b699-252000ed2b76,M2,ORB,M2-ORB,0.3186042290123898,-0.06073203208563693,-0.025
20,ZFM-03332,2022-02-16,0d04401a-2e75-4449-b699-252000ed2b76,M2,ORB,M2-ORB,0.28173261736228317,-0.09760364373574354,0.025
21,ZFM-03332,2022-02-16,0d04401a-2e75-4449-b699-252000ed2b76,M2,ORB,M2-ORB,0.4556460708771867,0.07630980977916002,0.07500000000000001
22,ZFM-03332,2022-02-16,0d04401a-2e75-4449-b699-252000ed2b76,M2,ORB,M2-ORB,0.423732512141236,0.04439625104320927,0.125
23,ZFM-03332,2022-02-16,0d04401a-2e75-4449-b699-252000ed2b76,M2,ORB,M2-ORB,0.40743801523524126,0.028101754137214552,0.17500000000000002
24,ZFM-03332,2022-02-16,0d04401a-2e75-4449-b699-252000ed2b76,M2,ORB,M2-ORB,0.4584193395707693,0.0790830784727426,0.225
