corr_change,region,subject,date
0.12132554948267575,Hippocampus,ZFM-02600,2021-08-27
0.004341788243826054,Posterior parietal cortex,ZFM-02600,2021-08-27
-0.03538198613440289,Substantia nigra,ZFM-02600,2021-08-27
-0.03550529651750397,Superior colliculus,ZFM-02600,2021-08-27
0.015503977851011767,Thalamus (LP),ZFM-02600,2021-08-27
-0.024303781397432615,Thalamus (PO),ZFM-02600,2021-08-27
-0.011553031157922085,Amygdala,ZFM-02181,2021-07-14
0.024945614127552387,Globus pallidus,ZFM-02181,2021-07-14
0.00780041222601597,Medial prefrontal cortex,ZFM-02181,2021-07-14
-0.011381295933219314,Orbitofrontal cortex,ZFM-02181,2021-07-14
-0.03414115452147619,Thalamus (RT),ZFM-02181,2021-07-14
0.018810278035096516,Amygdala,ZFM-01802,2021-03-11
0.006257088708357334,Piriform,ZFM-01802,2021-03-11
-0.1885522475831463,Hippocampus,ZFM-01802,2021-03-09
-0.09663676164740158,Posterior parietal cortex,ZFM-01802,2021-03-09
0.04986225225238256,Thalamus (LD),ZFM-01802,2021-03-09
0.015101369811936938,Thalamus (PO),ZFM-01802,2021-03-09
-0.13294786573440592,Thalamus (VAL),ZFM-01802,2021-03-09
0.004064732300593953,Amygdala,ZFM-02600,2021-08-25
0.003831137996533375,Medial prefrontal cortex,ZFM-02600,2021-08-25
-0.0010926663970947893,Orbitofrontal cortex,ZFM-02600,2021-08-25
-0.06502910717920203,Thalamus (RT),ZFM-02600,2021-08-25
0.001861214423135657,Medial prefrontal cortex,ZFM-02600,2021-08-28
-0.017567413133394074,Orbitofrontal cortex,ZFM-02600,2021-08-28
-0.02258184374801433,Piriform,ZFM-02600,2021-08-28
0.0438902343540632,Striatum,ZFM-02600,2021-08-28
0.038558356525610786,Anterior olfactory nucleus,ZFM-02181,2021-07-16
-0.03233822716045031,Medial prefrontal cortex,ZFM-02181,2021-07-16
0.02053408472482609,Orbitofrontal cortex,ZFM-02181,2021-07-16
0.0162307399748372,Amygdala,ZFM-02180,2021-05-20
0.012591463971297413,Lateral geniculate,ZFM-02180,2021-05-20
-0.032627221799076365,Thalamus (RT),ZFM-02180,2021-05-20
-0.0025551362617627685,Medial prefrontal cortex,ZFM-02600,2021-08-26
0.014261873335870858,Orbitofrontal cortex,ZFM-02600,2021-08-26
-0.006178853850097441,Piriform,ZFM-02600,2021-08-26
0.008533810223165095,Superior colliculus,ZFM-02600,2021-08-26
-0.003494380962857354,Medial prefrontal cortex,ZFM-02180,2021-05-18
-0.06982050378262017,Midbrain reticular nucleus,ZFM-02180,2021-05-18
0.021266692527127734,Retrosplenial,ZFM-02180,2021-05-18
0.04302327716175906,Zona incerta,ZFM-02180,2021-05-18
-0.020326770345081614,Hippocampus,ZFM-02180,2021-05-19
0.0005205349203136114,Medial prefrontal cortex,ZFM-02180,2021-05-19
-0.005026261016318723,Orbitofrontal cortex,ZFM-02180,2021-05-19
0.011699489491697211,Piriform,ZFM-02180,2021-05-19
-0.01998208655366547,Posterior parietal cortex,ZFM-02180,2021-05-19
-0.0008517282021535344,Thalamus (LD),ZFM-02180,2021-05-19
-0.022290675489978255,Thalamus (PO),ZFM-02180,2021-05-19
-0.09266026386919257,Thalamus (VAL),ZFM-02180,2021-05-19
