corr_change,region,subject,date
0.0889521939952014,Hippocampus,ZFM-02600,2021-08-27
0.036310571534323,Posterior parietal cortex,ZFM-02600,2021-08-27
-0.03769577386694959,Substantia nigra,ZFM-02600,2021-08-27
-0.09035728874950723,Superior colliculus,ZFM-02600,2021-08-27
-0.019745230936153012,Thalamus (LP),ZFM-02600,2021-08-27
-0.01549020326755254,Thalamus (PO),ZFM-02600,2021-08-27
-0.03370214042553332,Amygdala,ZFM-02181,2021-07-14
-0.04254284927039333,Globus pallidus,ZFM-02181,2021-07-14
0.006243996282948089,Medial prefrontal cortex,ZFM-02181,2021-07-14
-0.008574996313972703,Orbitofrontal cortex,ZFM-02181,2021-07-14
0.008629205316995486,Thalamus (RT),ZFM-02181,2021-07-14
0.028407199616079702,Amygdala,ZFM-01802,2021-03-11
0.03327610868567509,Piriform,ZFM-01802,2021-03-11
5.736284386835698e-06,Hippocampus,ZFM-01802,2021-03-09
0.12891491541689737,Posterior parietal cortex,ZFM-01802,2021-03-09
0.5372745738173519,Thalamus (LD),ZFM-01802,2021-03-09
0.47612203298103045,Thalamus (PO),ZFM-01802,2021-03-09
0.5161995618206255,Thalamus (VAL),ZFM-01802,2021-03-09
-0.010536576468735688,Amygdala,ZFM-02600,2021-08-25
0.0124053849784687,Medial prefrontal cortex,ZFM-02600,2021-08-25
-0.0070281066402068226,Orbitofrontal cortex,ZFM-02600,2021-08-25
-0.07262258554994648,Thalamus (RT),ZFM-02600,2021-08-25
0.010080320048253273,Medial prefrontal cortex,ZFM-02600,2021-08-28
0.012681993520151959,Orbitofrontal cortex,ZFM-02600,2021-08-28
0.0035048847109796547,Piriform,ZFM-02600,2021-08-28
-0.027149254414043977,Striatum,ZFM-02600,2021-08-28
-0.01613050157659633,Anterior olfactory nucleus,ZFM-02181,2021-07-16
-0.04269245765298514,Medial prefrontal cortex,ZFM-02181,2021-07-16
-0.022001007419788086,Orbitofrontal cortex,ZFM-02181,2021-07-16
0.014285481886150954,Amygdala,ZFM-02180,2021-05-20
0.04254967860559713,Lateral geniculate,ZFM-02180,2021-05-20
0.0017290587605523797,Thalamus (RT),ZFM-02180,2021-05-20
0.0006142322697208642,Medial prefrontal cortex,ZFM-02600,2021-08-26
0.015864656273581246,Orbitofrontal cortex,ZFM-02600,2021-08-26
-0.0016592841607553457,Piriform,ZFM-02600,2021-08-26
0.04500740120833918,Superior colliculus,ZFM-02600,2021-08-26
0.0062051382949301175,Medial prefrontal cortex,ZFM-02180,2021-05-18
-0.027828394221001772,Midbrain reticular nucleus,ZFM-02180,2021-05-18
0.0065852574475129995,Retrosplenial,ZFM-02180,2021-05-18
0.007912318803851175,Zona incerta,ZFM-02180,2021-05-18
-0.02749731165145817,Hippocampus,ZFM-02180,2021-05-19
0.006515160470538738,Medial prefrontal cortex,ZFM-02180,2021-05-19
-0.0007150716761094353,Orbitofrontal cortex,ZFM-02180,2021-05-19
0.011366966128379804,Piriform,ZFM-02180,2021-05-19
-0.0038107540731185004,Posterior parietal cortex,ZFM-02180,2021-05-19
0.01916057211149537,Thalamus (LD),ZFM-02180,2021-05-19
-0.02837031924730781,Thalamus (PO),ZFM-02180,2021-05-19
-0.04208573638262886,Thalamus (VAL),ZFM-02180,2021-05-19
