pid,eid,probe,subject,cluster_id,regions,dist_soma,group_label,type
dd5af9d9-16b1-477a-885d-713dc5066b8c,066bf23b-17a9-4a0a-84ac-097776a2ea4a,probe00,ZFM-02601,94,ND,[-0.1  -0.08 -0.06 -0.04 -0.02  0.    0.02  0.04  0.06  0.08  0.1 ],,Und.
dd5af9d9-16b1-477a-885d-713dc5066b8c,066bf23b-17a9-4a0a-84ac-097776a2ea4a,probe00,ZFM-02601,53,MA3,[-0.1  -0.08 -0.06 -0.04 -0.02  0.    0.02  0.04  0.06  0.08  0.1 ],,Und.
dd5af9d9-16b1-477a-885d-713dc5066b8c,066bf23b-17a9-4a0a-84ac-097776a2ea4a,probe00,ZFM-02601,65,MA3,[-0.1  -0.08 -0.06 -0.04 -0.02  0.    0.02  0.04  0.06  0.08  0.1 ],,Und.
dd5af9d9-16b1-477a-885d-713dc5066b8c,066bf23b-17a9-4a0a-84ac-097776a2ea4a,probe00,ZFM-02601,66,MA3,[-0.1  -0.08 -0.06 -0.04 -0.02  0.    0.02  0.04  0.06  0.08  0.1 ],,Und.
dd5af9d9-16b1-477a-885d-713dc5066b8c,066bf23b-17a9-4a0a-84ac-097776a2ea4a,probe00,ZFM-02601,92,ND,[-0.1  -0.08 -0.06 -0.04 -0.02  0.    0.02  0.04  0.06  0.08  0.1 ],,Und.
dd5af9d9-16b1-477a-885d-713dc5066b8c,066bf23b-17a9-4a0a-84ac-097776a2ea4a,probe00,ZFM-02601,124,PAG,[-0.1  -0.08 -0.06 -0.04 -0.02  0.    0.02  0.04  0.06  0.08  0.1 ],,Und.
dd5af9d9-16b1-477a-885d-713dc5066b8c,066bf23b-17a9-4a0a-84ac-097776a2ea4a,probe00,ZFM-02601,145,PAG,[-0.1  -0.08 -0.06 -0.04 -0.02  0.    0.02  0.04  0.06  0.08  0.1 ],,Und.
dd5af9d9-16b1-477a-885d-713dc5066b8c,066bf23b-17a9-4a0a-84ac-097776a2ea4a,probe00,ZFM-02601,168,PAG,[-0.1  -0.08 -0.06 -0.04 -0.02  0.    0.02  0.04  0.06  0.08  0.1 ],,Und.
dd5af9d9-16b1-477a-885d-713dc5066b8c,066bf23b-17a9-4a0a-84ac-097776a2ea4a,probe00,ZFM-02601,178,PAG,[-0.1  -0.08 -0.06 -0.04 -0.02  0.    0.02  0.04  0.06  0.08  0.1 ],,Und.
dd5af9d9-16b1-477a-885d-713dc5066b8c,066bf23b-17a9-4a0a-84ac-097776a2ea4a,probe00,ZFM-02601,183,PAG,[-0.1  -0.08 -0.06 -0.04 -0.02  0.    0.02  0.04  0.06  0.08  0.1 ],,Und.
dd5af9d9-16b1-477a-885d-713dc5066b8c,066bf23b-17a9-4a0a-84ac-097776a2ea4a,probe00,ZFM-02601,215,RSPv5,[-0.1  -0.08 -0.06 -0.04 -0.02  0.    0.02  0.04  0.06  0.08  0.1 ],,Und.
dd5af9d9-16b1-477a-885d-713dc5066b8c,066bf23b-17a9-4a0a-84ac-097776a2ea4a,probe00,ZFM-02601,231,MB,[-0.1  -0.08 -0.06 -0.04 -0.02  0.    0.02  0.04  0.06  0.08  0.1 ],,Und.
dd5af9d9-16b1-477a-885d-713dc5066b8c,066bf23b-17a9-4a0a-84ac-097776a2ea4a,probe00,ZFM-02601,249,PAG,[-0.1  -0.08 -0.06 -0.04 -0.02  0.    0.02  0.04  0.06  0.08  0.1 ],,Und.
dd5af9d9-16b1-477a-885d-713dc5066b8c,066bf23b-17a9-4a0a-84ac-097776a2ea4a,probe00,ZFM-02601,176,PAG,[-0.1  -0.08 -0.06 -0.04 -0.02  0.    0.02  0.04  0.06  0.08  0.1 ],,Und.
a0651da1-582c-4df1-ae78-4eafef6b17dc,08371a0c-22d9-4f6e-ac22-c15788b39180,probe00,ZFM-04080,45,BLAv,[-0.1  -0.08 -0.06 -0.04 -0.02  0.    0.02  0.04  0.06  0.08  0.1 ],,Und.
a0651da1-582c-4df1-ae78-4eafef6b17dc,08371a0c-22d9-4f6e-ac22-c15788b39180,probe00,ZFM-04080,161,BMAp,[-0.1  -0.08 -0.06 -0.04 -0.02  0.    0.02  0.04  0.06  0.08  0.1 ],,Und.
a0651da1-582c-4df1-ae78-4eafef6b17dc,08371a0c-22d9-4f6e-ac22-c15788b39180,probe00,ZFM-04080,154,BMAp,[-0.1  -0.08 -0.06 -0.04 -0.02  0.    0.02  0.04  0.06  0.08  0.1 ],,Und.
a0651da1-582c-4df1-ae78-4eafef6b17dc,08371a0c-22d9-4f6e-ac22-c15788b39180,probe00,ZFM-04080,91,BMAp,[-0.1  -0.08 -0.06 -0.04 -0.02  0.    0.02  0.04  0.06  0.08  0.1 ],,Und.
a0651da1-582c-4df1-ae78-4eafef6b17dc,08371a0c-22d9-4f6e-ac22-c15788b39180,probe00,ZFM-04080,110,BMAp,[-0.1  -0.08 -0.06 -0.04 -0.02  0.    0.02  0.04  0.06  0.08  0.1 ],,Und.
a0651da1-582c-4df1-ae78-4eafef6b17dc,08371a0c-22d9-4f6e-ac22-c15788b39180,probe00,ZFM-04080,109,BMAp,[-0.1  -0.08 -0.06 -0.04 -0.02  0.    0.02  0.04  0.06  0.08  0.1 ],,Und.
