pid,eid,probe,subject,neuron_id,regions,dist_soma,spread,v_above,v_below,upper_lim,lower_lim,type
6b68ff0d-9014-4a81-b2c2-915ddfdba3a3,7d962737-6858-4d85-9420-c83d20e3ff0a,probe00,ZFM-04300,1420,VISp6a,[-0.1  -0.08 -0.06 -0.04 -0.02  0.    0.02  0.04  0.06  0.08  0.1 ],0.03300000000000003,,,0.0180000000000001,-0.01499999999999993,Und.
6b68ff0d-9014-4a81-b2c2-915ddfdba3a3,7d962737-6858-4d85-9420-c83d20e3ff0a,probe00,ZFM-04300,1428,VISp6a,[-0.1  -0.08 -0.06 -0.04 -0.02  0.    0.02  0.04  0.06  0.08  0.1 ],0.050000000000000044,0.19999999552965192,-0.599999986588957,0.02900000000000011,-0.020999999999999935,RS2
6b68ff0d-9014-4a81-b2c2-915ddfdba3a3,7d962737-6858-4d85-9420-c83d20e3ff0a,probe00,ZFM-04300,1432,VISp6a,[-0.1  -0.08 -0.06 -0.04 -0.02  0.    0.02  0.04  0.06],0.04800000000000004,,-0.19999999552965192,0.0190000000000001,-0.028999999999999942,Und.
6b68ff0d-9014-4a81-b2c2-915ddfdba3a3,7d962737-6858-4d85-9420-c83d20e3ff0a,probe00,ZFM-04300,1435,VISp6a,[-0.1  -0.08 -0.06 -0.04 -0.02  0.    0.02  0.04  0.06],0.08100000000000007,-0.599999986588955,-0.599999986588957,0.05500000000000013,-0.02599999999999994,RS2
6b68ff0d-9014-4a81-b2c2-915ddfdba3a3,7d962737-6858-4d85-9420-c83d20e3ff0a,probe00,ZFM-04300,1439,VISp6a,[-0.1  -0.08 -0.06 -0.04 -0.02  0.    0.02  0.04  0.06],0.06600000000000006,,0.2769230707333637,0.0070000000000000895,-0.05899999999999997,Und.
6b68ff0d-9014-4a81-b2c2-915ddfdba3a3,7d962737-6858-4d85-9420-c83d20e3ff0a,probe00,ZFM-04300,1441,VISp6a,[-0.1  -0.08 -0.06 -0.04 -0.02  0.    0.02  0.04  0.06],0.041000000000000036,0.14999999664723876,,0.022000000000000103,-0.018999999999999934,Und.
04954136-75a8-4a20-9054-37b0bffd3b8b,a5f5eacc-3344-4f24-a41a-a6018c1eabf1,probe00,ZFM-04820,1289,MOs6b,[-0.1  -0.08 -0.06 -0.04 -0.02  0.    0.02  0.04  0.06  0.08  0.1 ],0.029000000000000026,,,0.015000000000000097,-0.01399999999999993,NS
04954136-75a8-4a20-9054-37b0bffd3b8b,a5f5eacc-3344-4f24-a41a-a6018c1eabf1,probe00,ZFM-04820,1296,MOs6a,[-0.1  -0.08 -0.06 -0.04 -0.02  0.    0.02  0.04  0.06  0.08  0.1 ],0.06700000000000006,0.599999986588953,0.44999998994171636,0.025000000000000105,-0.041999999999999954,RS1
04954136-75a8-4a20-9054-37b0bffd3b8b,a5f5eacc-3344-4f24-a41a-a6018c1eabf1,probe00,ZFM-04820,1300,MOs6a,[-0.1  -0.08 -0.06 -0.04 -0.02  0.    0.02  0.04  0.06  0.08  0.1 ],0.050000000000000044,0.09999999776482585,0.0,0.025000000000000105,-0.02499999999999994,RS1
04954136-75a8-4a20-9054-37b0bffd3b8b,a5f5eacc-3344-4f24-a41a-a6018c1eabf1,probe00,ZFM-04820,1304,MOs6a,[-0.1  -0.08 -0.06 -0.04 -0.02  0.    0.02  0.04  0.06  0.08  0.1 ],0.14100000000000013,0.12103746127154719,0.025692694639829306,0.08400000000000016,-0.05699999999999997,RS2
04954136-75a8-4a20-9054-37b0bffd3b8b,a5f5eacc-3344-4f24-a41a-a6018c1eabf1,probe00,ZFM-04820,1310,MOs6a,[-0.1  -0.08 -0.06 -0.04 -0.02  0.    0.02  0.04  0.06  0.08  0.1 ],0.08800000000000008,0.0,-0.599999986588957,0.05300000000000013,-0.03499999999999995,RS2
04954136-75a8-4a20-9054-37b0bffd3b8b,a5f5eacc-3344-4f24-a41a-a6018c1eabf1,probe00,ZFM-04820,1319,MOs6a,[-0.1  -0.08 -0.06 -0.04 -0.02  0.    0.02  0.04  0.06  0.08  0.1 ],0.04500000000000004,0.2999999932944775,-0.1499999966472385,0.024000000000000105,-0.020999999999999935,RS2
04954136-75a8-4a20-9054-37b0bffd3b8b,a5f5eacc-3344-4f24-a41a-a6018c1eabf1,probe00,ZFM-04820,1341,MOs6a,[-0.1  -0.08 -0.06 -0.04 -0.02  0.    0.02  0.04  0.06  0.08  0.1 ],0.06900000000000006,0.0,-0.599999986588957,0.03300000000000011,-0.03599999999999995,NS
