,subject,date,eid,region,pca_opto,pca_spont_mean,pca_spont_05,pca_spont_95,time
0,ZFM-03330,2022-02-16,5244890d-9353-4cfe-a18e-23481883e3a4,M2,7.0,9.23,8.0,11.0,-0.9
1,ZFM-03330,2022-02-16,5244890d-9353-4cfe-a18e-23481883e3a4,M2,9.0,8.88,7.0,10.0,-0.7000000000000001
2,ZFM-03330,2022-02-16,5244890d-9353-4cfe-a18e-23481883e3a4,M2,9.0,9.07,8.0,10.0,-0.5
3,ZFM-03330,2022-02-16,5244890d-9353-4cfe-a18e-23481883e3a4,M2,9.0,8.93,8.0,10.0,-0.30000000000000004
4,ZFM-03330,2022-02-16,5244890d-9353-4cfe-a18e-23481883e3a4,M2,10.0,9.04,8.0,11.0,-0.1
5,ZFM-03330,2022-02-16,5244890d-9353-4cfe-a18e-23481883e3a4,M2,9.0,8.89,8.0,10.0,0.1
6,ZFM-03330,2022-02-16,5244890d-9353-4cfe-a18e-23481883e3a4,M2,9.0,8.95,8.0,10.0,0.30000000000000004
7,ZFM-03330,2022-02-16,5244890d-9353-4cfe-a18e-23481883e3a4,M2,11.0,9.1,8.0,10.0,0.5
8,ZFM-03330,2022-02-16,5244890d-9353-4cfe-a18e-23481883e3a4,M2,10.0,8.98,8.0,10.0,0.7000000000000001
9,ZFM-03330,2022-02-16,5244890d-9353-4cfe-a18e-23481883e3a4,M2,11.0,9.21,8.0,10.0,0.9
10,ZFM-03330,2022-02-16,5244890d-9353-4cfe-a18e-23481883e3a4,M2,10.0,9.03,7.0,10.0,1.1
11,ZFM-03330,2022-02-16,5244890d-9353-4cfe-a18e-23481883e3a4,M2,11.0,9.02,8.0,10.0,1.3000000000000003
12,ZFM-03330,2022-02-16,5244890d-9353-4cfe-a18e-23481883e3a4,M2,11.0,8.87,7.0,10.0,1.5
13,ZFM-03330,2022-02-16,5244890d-9353-4cfe-a18e-23481883e3a4,M2,10.0,9.04,8.0,11.0,1.7000000000000002
14,ZFM-03330,2022-02-16,5244890d-9353-4cfe-a18e-23481883e3a4,M2,9.0,8.92,7.0,10.0,1.9
15,ZFM-03330,2022-02-16,5244890d-9353-4cfe-a18e-23481883e3a4,mPFC,14.0,14.55,13.0,16.0,-0.9
16,ZFM-03330,2022-02-16,5244890d-9353-4cfe-a18e-23481883e3a4,mPFC,15.0,14.54,13.0,16.0,-0.7000000000000001
17,ZFM-03330,2022-02-16,5244890d-9353-4cfe-a18e-23481883e3a4,mPFC,15.0,14.69,13.0,16.0,-0.5
18,ZFM-03330,2022-02-16,5244890d-9353-4cfe-a18e-23481883e3a4,mPFC,15.0,14.64,13.0,16.0,-0.30000000000000004
19,ZFM-03330,2022-02-16,5244890d-9353-4cfe-a18e-23481883e3a4,mPFC,16.0,14.61,13.0,16.0,-0.1
20,ZFM-03330,2022-02-16,5244890d-9353-4cfe-a18e-23481883e3a4,mPFC,15.0,14.65,13.0,17.0,0.1
21,ZFM-03330,2022-02-16,5244890d-9353-4cfe-a18e-23481883e3a4,mPFC,16.0,14.73,13.0,17.0,0.30000000000000004
22,ZFM-03330,2022-02-16,5244890d-9353-4cfe-a18e-23481883e3a4,mPFC,16.0,14.55,13.0,16.049999999999997,0.5
23,ZFM-03330,2022-02-16,5244890d-9353-4cfe-a18e-23481883e3a4,mPFC,19.0,14.51,13.0,16.0,0.7000000000000001
24,ZFM-03330,2022-02-16,5244890d-9353-4cfe-a18e-23481883e3a4,mPFC,19.0,14.64,13.0,16.0,0.9
25,ZFM-03330,2022-02-16,5244890d-9353-4cfe-a18e-23481883e3a4,mPFC,18.0,14.66,13.0,16.0,1.1
26,ZFM-03330,2022-02-16,5244890d-9353-4cfe-a18e-23481883e3a4,mPFC,18.0,14.72,13.0,16.0,1.3000000000000003
27,ZFM-03330,2022-02-16,5244890d-9353-4cfe-a18e-23481883e3a4,mPFC,16.0,14.71,13.0,16.0,1.5
28,ZFM-03330,2022-02-16,5244890d-9353-4cfe-a18e-23481883e3a4,mPFC,18.0,14.44,12.95,16.0,1.7000000000000002
29,ZFM-03330,2022-02-16,5244890d-9353-4cfe-a18e-23481883e3a4,mPFC,19.0,14.69,13.0,16.0,1.9
30,ZFM-03332,2022-02-16,0d04401a-2e75-4449-b699-252000ed2b76,M2,13.0,12.54,11.0,14.0,-0.9
31,ZFM-03332,2022-02-16,0d04401a-2e75-4449-b699-252000ed2b76,M2,12.0,12.62,11.0,14.0,-0.7000000000000001
32,ZFM-03332,2022-02-16,0d04401a-2e75-4449-b699-252000ed2b76,M2,12.0,12.46,11.0,14.0,-0.5
33,ZFM-03332,2022-02-16,0d04401a-2e75-4449-b699-252000ed2b76,M2,11.0,12.53,11.0,14.0,-0.30000000000000004
34,ZFM-03332,2022-02-16,0d04401a-2e75-4449-b699-252000ed2b76,M2,14.0,12.62,11.0,14.0,-0.1
35,ZFM-03332,2022-02-16,0d04401a-2e75-4449-b699-252000ed2b76,M2,12.0,12.5,11.0,14.0,0.1
36,ZFM-03332,2022-02-16,0d04401a-2e75-4449-b699-252000ed2b76,M2,13.0,12.3,11.0,14.0,0.30000000000000004
37,ZFM-03332,2022-02-16,0d04401a-2e75-4449-b699-252000ed2b76,M2,12.0,12.33,11.0,14.0,0.5
