index,subject,date,pid,probe,region,time,n_neurons,pca1,pca2,pca3
0,ZFM-04122,2022-05-13,fd4d4d6b-f2e3-464d-8604-084265d32b76,probe00,Pir,-0.99,44,-2.6693496007465027,0.3795944475140479,0.35304866474363067
1,ZFM-04122,2022-05-13,fd4d4d6b-f2e3-464d-8604-084265d32b76,probe00,Pir,-0.97,44,-2.020732213734579,0.6523626162200662,-0.20409336624353344
2,ZFM-04122,2022-05-13,fd4d4d6b-f2e3-464d-8604-084265d32b76,probe00,Pir,-0.95,44,-1.467447978192486,0.548572994392639,0.3044779065611196
3,ZFM-04122,2022-05-13,fd4d4d6b-f2e3-464d-8604-084265d32b76,probe00,Pir,-0.93,44,-1.862008757360057,0.7919345766798543,1.1996851061959686
4,ZFM-04122,2022-05-13,fd4d4d6b-f2e3-464d-8604-084265d32b76,probe00,Pir,-0.91,44,-2.313298611517866,0.17136122907714907,0.8716652059202719
5,ZFM-04122,2022-05-13,fd4d4d6b-f2e3-464d-8604-084265d32b76,probe00,Pir,-0.89,44,-1.9585162048727662,-0.7172632495707649,0.027474401546035608
6,ZFM-04122,2022-05-13,fd4d4d6b-f2e3-464d-8604-084265d32b76,probe00,Pir,-0.87,44,-1.8098503929186345,-1.0088741405463897,-0.6847679193196905
7,ZFM-04122,2022-05-13,fd4d4d6b-f2e3-464d-8604-084265d32b76,probe00,Pir,-0.85,44,-2.158290140262874,-1.2636859238183642,-1.0023132430683068
8,ZFM-04122,2022-05-13,fd4d4d6b-f2e3-464d-8604-084265d32b76,probe00,Pir,-0.8300000000000001,44,-2.684928069317227,-1.4311745479109175,-0.9016405383736994
9,ZFM-04122,2022-05-13,fd4d4d6b-f2e3-464d-8604-084265d32b76,probe00,Pir,-0.81,44,-3.7578244544186603,-1.0688289352791411,-0.8485534872989662
10,ZFM-04122,2022-05-13,fd4d4d6b-f2e3-464d-8604-084265d32b76,probe00,Pir,-0.79,44,-4.5258569672515625,-0.7041835345767883,-1.0379105228082595
11,ZFM-04122,2022-05-13,fd4d4d6b-f2e3-464d-8604-084265d32b76,probe00,Pir,-0.77,44,-4.497644906220899,-0.04559821911470298,-0.5263233986031328
12,ZFM-04122,2022-05-13,fd4d4d6b-f2e3-464d-8604-084265d32b76,probe00,Pir,-0.75,44,-4.038325954309558,0.9592867822806403,0.5087376436536861
13,ZFM-04122,2022-05-13,fd4d4d6b-f2e3-464d-8604-084265d32b76,probe00,Pir,-0.73,44,-3.6106971088833917,0.9296921956794346,0.9922267207948474
14,ZFM-04122,2022-05-13,fd4d4d6b-f2e3-464d-8604-084265d32b76,probe00,Pir,-0.71,44,-3.464621344921322,0.5144543235434818,0.5903906048629329
15,ZFM-04122,2022-05-13,fd4d4d6b-f2e3-464d-8604-084265d32b76,probe00,Pir,-0.6900000000000001,44,-3.471369144883277,1.0686674749773053,0.4914498656878326
16,ZFM-04122,2022-05-13,fd4d4d6b-f2e3-464d-8604-084265d32b76,probe00,Pir,-0.67,44,-3.039274729335129,1.6221431226342018,0.8030269907025318
17,ZFM-04122,2022-05-13,fd4d4d6b-f2e3-464d-8604-084265d32b76,probe00,Pir,-0.65,44,-1.682692401644646,1.6332857123395212,0.6019877663051435
18,ZFM-04122,2022-05-13,fd4d4d6b-f2e3-464d-8604-084265d32b76,probe00,Pir,-0.63,44,-0.8991260057222017,1.1049372259144652,0.19894659253562502
19,ZFM-04122,2022-05-13,fd4d4d6b-f2e3-464d-8604-084265d32b76,probe00,Pir,-0.61,44,-1.9856635426881646,0.4138705142677032,-0.21183441176440876
20,ZFM-04122,2022-05-13,fd4d4d6b-f2e3-464d-8604-084265d32b76,probe00,Pir,-0.59,44,-2.3561371372893545,-0.22911331851225422,-0.13343009777270395
21,ZFM-04122,2022-05-13,fd4d4d6b-f2e3-464d-8604-084265d32b76,probe00,Pir,-0.5700000000000001,44,-1.5508834625287393,-0.3766761514623054,0.3770372489689736
22,ZFM-04122,2022-05-13,fd4d4d6b-f2e3-464d-8604-084265d32b76,probe00,Pir,-0.55,44,-0.9740066957418667,-0.29695323837202475,0.3200125848181024
23,ZFM-04122,2022-05-13,fd4d4d6b-f2e3-464d-8604-084265d32b76,probe00,Pir,-0.53,44,-0.6245281705855233,-0.024462148556452682,-0.6081953156935592
24,ZFM-04122,2022-05-13,fd4d4d6b-f2e3-464d-8604-084265d32b76,probe00,Pir,-0.51,44,-0.48060288026303866,0.2815695738967945,-0.9418358427516901
25,ZFM-04122,2022-05-13,fd4d4d6b-f2e3-464d-8604-084265d32b76,probe00,Pir,-0.49,44,-0.6403701115692254,0.5771589774204605,-0.7439316558113562
26,ZFM-04122,2022-05-13,fd4d4d6b-f2e3-464d-8604-084265d32b76,probe00,Pir,-0.47,44,-0.8518962047787028,1.171902980131499,-1.3164232468241945
27,ZFM-04122,2022-05-13,fd4d4d6b-f2e3-464d-8604-084265d32b76,probe00,Pir,-0.45,44,-0.7142069777583168,1.8230306577542792,-1.9588021290503668
28,ZFM-04122,2022-05-13,fd4d4d6b-f2e3-464d-8604-084265d32b76,probe00,Pir,-0.43,44,-0.0084568468548427,1.7284590285556725,-1.6733312243472847
29,ZFM-04122,2022-05-13,fd4d4d6b-f2e3-464d-8604-084265d32b76,probe00,Pir,-0.41000000000000003,44,0.42846852576820377,1.6305200723868183,-0.9027450719888007
30,ZFM-04122,2022-05-13,fd4d4d6b-f2e3-464d-8604-084265d32b76,probe00,Pir,-0.39,44,-0.48035565663658686,1.5673865158268177,-0.595901988338142
31,ZFM-04122,2022-05-13,fd4d4d6b-f2e3-464d-8604-084265d32b76,probe00,Pir,-0.37,44,-2.4503333675398657,0.8488930634120044,-0.09825726506256167
32,ZFM-04122,2022-05-13,fd4d4d6b-f2e3-464d-8604-084265d32b76,probe00,Pir,-0.35,44,-3.682627746274094,-0.1584982897016072,0.17116675265166742
