,Unnamed: 0,subject,date,eid,sert-cre,change_rate,time
0,0.0,ZFM-03330,2022-02-18,595c8ddd-a8e3-438d-9c31-62b2a07cc6cf,1,4.400000000000001,-0.975
1,1.0,ZFM-03330,2022-02-18,595c8ddd-a8e3-438d-9c31-62b2a07cc6cf,1,3.333333333333334,-0.825
2,2.0,ZFM-03330,2022-02-18,595c8ddd-a8e3-438d-9c31-62b2a07cc6cf,1,5.333333333333332,-0.675
3,3.0,ZFM-03330,2022-02-18,595c8ddd-a8e3-438d-9c31-62b2a07cc6cf,1,3.333333333333333,-0.5249999999999999
4,4.0,ZFM-03330,2022-02-18,595c8ddd-a8e3-438d-9c31-62b2a07cc6cf,1,3.333333333333333,-0.375
5,5.0,ZFM-03330,2022-02-18,595c8ddd-a8e3-438d-9c31-62b2a07cc6cf,1,5.600000000000001,-0.2249999999999999
6,6.0,ZFM-03330,2022-02-18,595c8ddd-a8e3-438d-9c31-62b2a07cc6cf,1,6.533333333333334,-0.075
7,7.0,ZFM-03330,2022-02-18,595c8ddd-a8e3-438d-9c31-62b2a07cc6cf,1,2.9333333333333336,0.075
8,8.0,ZFM-03330,2022-02-18,595c8ddd-a8e3-438d-9c31-62b2a07cc6cf,1,3.4666666666666663,0.2249999999999999
9,9.0,ZFM-03330,2022-02-18,595c8ddd-a8e3-438d-9c31-62b2a07cc6cf,1,4.666666666666666,0.375
10,10.0,ZFM-03330,2022-02-18,595c8ddd-a8e3-438d-9c31-62b2a07cc6cf,1,7.199999999999999,0.5249999999999999
11,11.0,ZFM-03330,2022-02-18,595c8ddd-a8e3-438d-9c31-62b2a07cc6cf,1,7.066666666666667,0.675
12,12.0,ZFM-03330,2022-02-18,595c8ddd-a8e3-438d-9c31-62b2a07cc6cf,1,8.000000000000002,0.825
13,13.0,ZFM-03330,2022-02-18,595c8ddd-a8e3-438d-9c31-62b2a07cc6cf,1,5.866666666666665,0.975
14,14.0,ZFM-03330,2022-02-18,595c8ddd-a8e3-438d-9c31-62b2a07cc6cf,1,4.933333333333334,1.125
15,15.0,ZFM-03330,2022-02-18,595c8ddd-a8e3-438d-9c31-62b2a07cc6cf,1,4.666666666666667,1.275
16,16.0,ZFM-03330,2022-02-18,595c8ddd-a8e3-438d-9c31-62b2a07cc6cf,1,4.933333333333334,1.4249999999999998
17,17.0,ZFM-03330,2022-02-18,595c8ddd-a8e3-438d-9c31-62b2a07cc6cf,1,4.266666666666666,1.575
18,18.0,ZFM-03330,2022-02-18,595c8ddd-a8e3-438d-9c31-62b2a07cc6cf,1,4.4,1.725
19,19.0,ZFM-03330,2022-02-18,595c8ddd-a8e3-438d-9c31-62b2a07cc6cf,1,5.866666666666667,1.875
20,20.0,ZFM-03330,2022-02-18,595c8ddd-a8e3-438d-9c31-62b2a07cc6cf,1,4.266666666666666,2.025
21,21.0,ZFM-03330,2022-02-18,595c8ddd-a8e3-438d-9c31-62b2a07cc6cf,1,4.933333333333334,2.175
22,22.0,ZFM-03330,2022-02-18,595c8ddd-a8e3-438d-9c31-62b2a07cc6cf,1,4.933333333333334,2.325
23,23.0,ZFM-03330,2022-02-18,595c8ddd-a8e3-438d-9c31-62b2a07cc6cf,1,4.933333333333334,2.475
24,24.0,ZFM-03330,2022-02-18,595c8ddd-a8e3-438d-9c31-62b2a07cc6cf,1,3.6,2.625
25,25.0,ZFM-03330,2022-02-18,595c8ddd-a8e3-438d-9c31-62b2a07cc6cf,1,4.266666666666667,2.775
26,26.0,ZFM-03330,2022-02-18,595c8ddd-a8e3-438d-9c31-62b2a07cc6cf,1,4.666666666666667,2.925
27,27.0,ZFM-03330,2022-02-18,595c8ddd-a8e3-438d-9c31-62b2a07cc6cf,1,3.4666666666666663,3.075
28,28.0,ZFM-03330,2022-02-18,595c8ddd-a8e3-438d-9c31-62b2a07cc6cf,1,4.933333333333334,3.225
29,29.0,ZFM-03330,2022-02-18,595c8ddd-a8e3-438d-9c31-62b2a07cc6cf,1,5.2,3.375
30,30.0,ZFM-03330,2022-02-18,595c8ddd-a8e3-438d-9c31-62b2a07cc6cf,1,2.2666666666666666,3.5249999999999995
31,31.0,ZFM-03330,2022-02-18,595c8ddd-a8e3-438d-9c31-62b2a07cc6cf,1,4.0,3.675
32,32.0,ZFM-03330,2022-02-18,595c8ddd-a8e3-438d-9c31-62b2a07cc6cf,1,5.866666666666666,3.825
33,33.0,ZFM-03330,2022-02-18,595c8ddd-a8e3-438d-9c31-62b2a07cc6cf,1,4.666666666666668,3.975
34,0.0,ZFM-04122,2022-05-13,8a1808ee-44ab-4572-b7ac-921a1af98748,1,4.266666666666667,-0.975
35,1.0,ZFM-04122,2022-05-13,8a1808ee-44ab-4572-b7ac-921a1af98748,1,5.7333333333333325,-0.825
36,2.0,ZFM-04122,2022-05-13,8a1808ee-44ab-4572-b7ac-921a1af98748,1,4.000000000000001,-0.675
37,3.0,ZFM-04122,2022-05-13,8a1808ee-44ab-4572-b7ac-921a1af98748,1,4.0,-0.5249999999999999
38,4.0,ZFM-04122,2022-05-13,8a1808ee-44ab-4572-b7ac-921a1af98748,1,5.200000000000001,-0.375
39,5.0,ZFM-04122,2022-05-13,8a1808ee-44ab-4572-b7ac-921a1af98748,1,4.4,-0.2249999999999999
40,6.0,ZFM-04122,2022-05-13,8a1808ee-44ab-4572-b7ac-921a1af98748,1,3.0666666666666664,-0.075
41,7.0,ZFM-04122,2022-05-13,8a1808ee-44ab-4572-b7ac-921a1af98748,1,3.333333333333334,0.075
42,8.0,ZFM-04122,2022-05-13,8a1808ee-44ab-4572-b7ac-921a1af98748,1,2.4000000000000004,0.2249999999999999
43,9.0,ZFM-04122,2022-05-13,8a1808ee-44ab-4572-b7ac-921a1af98748,1,2.1333333333333333,0.375
44,10.0,ZFM-04122,2022-05-13,8a1808ee-44ab-4572-b7ac-921a1af98748,1,2.1333333333333337,0.5249999999999999
45,11.0,ZFM-04122,2022-05-13,8a1808ee-44ab-4572-b7ac-921a1af98748,1,4.266666666666667,0.675
46,12.0,ZFM-04122,2022-05-13,8a1808ee-44ab-4572-b7ac-921a1af98748,1,4.000000000000001,0.825
47,13.0,ZFM-04122,2022-05-13,8a1808ee-44ab-4572-b7ac-921a1af98748,1,4.800000000000001,0.975
48,14.0,ZFM-04122,2022-05-13,8a1808ee-44ab-4572-b7ac-921a1af98748,1,4.266666666666667,1.125
49,15.0,ZFM-04122,2022-05-13,8a1808ee-44ab-4572-b7ac-921a1af98748,1,4.933333333333334,1.275
50,16.0,ZFM-04122,2022-05-13,8a1808ee-44ab-4572-b7ac-921a1af98748,1,3.866666666666666,1.4249999999999998
51,17.0,ZFM-04122,2022-05-13,8a1808ee-44ab-4572-b7ac-921a1af98748,1,3.333333333333333,1.575
52,18.0,ZFM-04122,2022-05-13,8a1808ee-44ab-4572-b7ac-921a1af98748,1,2.7999999999999994,1.725
