subject,date,eid,probe,pid,neuron_id,mod_index_small,mod_index_large
ZFM-04122,2022-05-13,8a1808ee-44ab-4572-b7ac-921a1af98748,probe00,fd4d4d6b-f2e3-464d-8604-084265d32b76,0,-0.40480000000000005,-0.3248
ZFM-04122,2022-05-13,8a1808ee-44ab-4572-b7ac-921a1af98748,probe00,fd4d4d6b-f2e3-464d-8604-084265d32b76,2,-0.2095999999999999,-0.15680000000000016
ZFM-04122,2022-05-13,8a1808ee-44ab-4572-b7ac-921a1af98748,probe00,fd4d4d6b-f2e3-464d-8604-084265d32b76,4,-0.11199999999999999,-0.09440000000000015
ZFM-04122,2022-05-13,8a1808ee-44ab-4572-b7ac-921a1af98748,probe00,fd4d4d6b-f2e3-464d-8604-084265d32b76,6,-0.16799999999999993,-0.36319999999999997
ZFM-04122,2022-05-13,8a1808ee-44ab-4572-b7ac-921a1af98748,probe00,fd4d4d6b-f2e3-464d-8604-084265d32b76,9,-0.27359999999999995,-0.3488
ZFM-04122,2022-05-13,8a1808ee-44ab-4572-b7ac-921a1af98748,probe00,fd4d4d6b-f2e3-464d-8604-084265d32b76,11,-0.3535999999999999,-0.3952
ZFM-04122,2022-05-13,8a1808ee-44ab-4572-b7ac-921a1af98748,probe00,fd4d4d6b-f2e3-464d-8604-084265d32b76,14,-0.4336,-0.5648
ZFM-04122,2022-05-13,8a1808ee-44ab-4572-b7ac-921a1af98748,probe00,fd4d4d6b-f2e3-464d-8604-084265d32b76,15,-0.31679999999999997,-0.5248
ZFM-04122,2022-05-13,8a1808ee-44ab-4572-b7ac-921a1af98748,probe00,fd4d4d6b-f2e3-464d-8604-084265d32b76,17,0.0032000000000000917,-0.04159999999999986
ZFM-04122,2022-05-13,8a1808ee-44ab-4572-b7ac-921a1af98748,probe00,fd4d4d6b-f2e3-464d-8604-084265d32b76,20,-0.21120000000000005,-0.38880000000000003
ZFM-04122,2022-05-13,8a1808ee-44ab-4572-b7ac-921a1af98748,probe00,fd4d4d6b-f2e3-464d-8604-084265d32b76,27,-0.2784000000000001,-0.05600000000000005
ZFM-04122,2022-05-13,8a1808ee-44ab-4572-b7ac-921a1af98748,probe00,fd4d4d6b-f2e3-464d-8604-084265d32b76,31,-0.6176000000000001,-0.35520000000000007
ZFM-04122,2022-05-13,8a1808ee-44ab-4572-b7ac-921a1af98748,probe00,fd4d4d6b-f2e3-464d-8604-084265d32b76,32,-0.17759999999999998,-0.248
ZFM-04122,2022-05-13,8a1808ee-44ab-4572-b7ac-921a1af98748,probe00,fd4d4d6b-f2e3-464d-8604-084265d32b76,37,-0.07040000000000002,-0.039999999999999925
ZFM-04122,2022-05-13,8a1808ee-44ab-4572-b7ac-921a1af98748,probe00,fd4d4d6b-f2e3-464d-8604-084265d32b76,43,-0.07200000000000006,0.019200000000000106
ZFM-04122,2022-05-13,8a1808ee-44ab-4572-b7ac-921a1af98748,probe00,fd4d4d6b-f2e3-464d-8604-084265d32b76,47,-0.41280000000000006,-0.584
ZFM-04122,2022-05-13,8a1808ee-44ab-4572-b7ac-921a1af98748,probe00,fd4d4d6b-f2e3-464d-8604-084265d32b76,48,-0.6896,-0.6224
ZFM-04122,2022-05-13,8a1808ee-44ab-4572-b7ac-921a1af98748,probe00,fd4d4d6b-f2e3-464d-8604-084265d32b76,49,-0.7584,-0.7984
ZFM-04122,2022-05-13,8a1808ee-44ab-4572-b7ac-921a1af98748,probe00,fd4d4d6b-f2e3-464d-8604-084265d32b76,52,-0.6912,-0.5328
