time,p_down,time,subject,pid,region
-0.99,0.7,-0.99,ZFM-04820,04954136-75a8-4a20-9054-37b0bffd3b8b,Frontal
-0.97,0.74,-0.97,ZFM-04820,04954136-75a8-4a20-9054-37b0bffd3b8b,Frontal
-0.95,0.74,-0.95,ZFM-04820,04954136-75a8-4a20-9054-37b0bffd3b8b,Frontal
-0.93,0.78,-0.93,ZFM-04820,04954136-75a8-4a20-9054-37b0bffd3b8b,Frontal
-0.91,0.74,-0.91,ZFM-04820,04954136-75a8-4a20-9054-37b0bffd3b8b,Frontal
-0.89,0.72,-0.89,ZFM-04820,04954136-75a8-4a20-9054-37b0bffd3b8b,Frontal
-0.87,0.72,-0.87,ZFM-04820,04954136-75a8-4a20-9054-37b0bffd3b8b,Frontal
-0.85,0.7,-0.85,ZFM-04820,04954136-75a8-4a20-9054-37b0bffd3b8b,Frontal
-0.8300000000000001,0.7,-0.8300000000000001,ZFM-04820,04954136-75a8-4a20-9054-37b0bffd3b8b,Frontal
-0.81,0.6799999999999999,-0.81,ZFM-04820,04954136-75a8-4a20-9054-37b0bffd3b8b,Frontal
-0.79,0.6799999999999999,-0.79,ZFM-04820,04954136-75a8-4a20-9054-37b0bffd3b8b,Frontal
-0.77,0.6,-0.77,ZFM-04820,04954136-75a8-4a20-9054-37b0bffd3b8b,Frontal
-0.75,0.62,-0.75,ZFM-04820,04954136-75a8-4a20-9054-37b0bffd3b8b,Frontal
-0.73,0.6,-0.73,ZFM-04820,04954136-75a8-4a20-9054-37b0bffd3b8b,Frontal
-0.71,0.6,-0.71,ZFM-04820,04954136-75a8-4a20-9054-37b0bffd3b8b,Frontal
-0.6900000000000001,0.5800000000000001,-0.6900000000000001,ZFM-04820,04954136-75a8-4a20-9054-37b0bffd3b8b,Frontal
-0.67,0.62,-0.67,ZFM-04820,04954136-75a8-4a20-9054-37b0bffd3b8b,Frontal
-0.65,0.6599999999999999,-0.65,ZFM-04820,04954136-75a8-4a20-9054-37b0bffd3b8b,Frontal
-0.63,0.74,-0.63,ZFM-04820,04954136-75a8-4a20-9054-37b0bffd3b8b,Frontal
-0.61,0.72,-0.61,ZFM-04820,04954136-75a8-4a20-9054-37b0bffd3b8b,Frontal
-0.59,0.72,-0.59,ZFM-04820,04954136-75a8-4a20-9054-37b0bffd3b8b,Frontal
-0.5700000000000001,0.74,-0.5700000000000001,ZFM-04820,04954136-75a8-4a20-9054-37b0bffd3b8b,Frontal
-0.55,0.72,-0.55,ZFM-04820,04954136-75a8-4a20-9054-37b0bffd3b8b,Frontal
-0.53,0.76,-0.53,ZFM-04820,04954136-75a8-4a20-9054-37b0bffd3b8b,Frontal
-0.51,0.8,-0.51,ZFM-04820,04954136-75a8-4a20-9054-37b0bffd3b8b,Frontal
-0.49,0.8,-0.49,ZFM-04820,04954136-75a8-4a20-9054-37b0bffd3b8b,Frontal
-0.47,0.8200000000000001,-0.47,ZFM-04820,04954136-75a8-4a20-9054-37b0bffd3b8b,Frontal
-0.45,0.78,-0.45,ZFM-04820,04954136-75a8-4a20-9054-37b0bffd3b8b,Frontal
-0.43,0.76,-0.43,ZFM-04820,04954136-75a8-4a20-9054-37b0bffd3b8b,Frontal
-0.41000000000000003,0.76,-0.41000000000000003,ZFM-04820,04954136-75a8-4a20-9054-37b0bffd3b8b,Frontal
-0.39,0.7,-0.39,ZFM-04820,04954136-75a8-4a20-9054-37b0bffd3b8b,Frontal
-0.37,0.7,-0.37,ZFM-04820,04954136-75a8-4a20-9054-37b0bffd3b8b,Frontal
-0.35,0.6799999999999999,-0.35,ZFM-04820,04954136-75a8-4a20-9054-37b0bffd3b8b,Frontal
-0.33,0.7,-0.33,ZFM-04820,04954136-75a8-4a20-9054-37b0bffd3b8b,Frontal
-0.31,0.78,-0.31,ZFM-04820,04954136-75a8-4a20-9054-37b0bffd3b8b,Frontal
-0.29000000000000004,0.76,-0.29000000000000004,ZFM-04820,04954136-75a8-4a20-9054-37b0bffd3b8b,Frontal
-0.27,0.78,-0.27,ZFM-04820,04954136-75a8-4a20-9054-37b0bffd3b8b,Frontal
-0.25,0.78,-0.25,ZFM-04820,04954136-75a8-4a20-9054-37b0bffd3b8b,Frontal
-0.22999999999999998,0.76,-0.22999999999999998,ZFM-04820,04954136-75a8-4a20-9054-37b0bffd3b8b,Frontal
-0.21000000000000002,0.74,-0.21000000000000002,ZFM-04820,04954136-75a8-4a20-9054-37b0bffd3b8b,Frontal
-0.19,0.72,-0.19,ZFM-04820,04954136-75a8-4a20-9054-37b0bffd3b8b,Frontal
-0.16999999999999998,0.7,-0.16999999999999998,ZFM-04820,04954136-75a8-4a20-9054-37b0bffd3b8b,Frontal
-0.15000000000000002,0.78,-0.15000000000000002,ZFM-04820,04954136-75a8-4a20-9054-37b0bffd3b8b,Frontal
-0.13,0.8200000000000001,-0.13,ZFM-04820,04954136-75a8-4a20-9054-37b0bffd3b8b,Frontal
-0.11,0.8200000000000001,-0.11,ZFM-04820,04954136-75a8-4a20-9054-37b0bffd3b8b,Frontal
-0.09,0.84,-0.09,ZFM-04820,04954136-75a8-4a20-9054-37b0bffd3b8b,Frontal
-0.07,0.86,-0.07,ZFM-04820,04954136-75a8-4a20-9054-37b0bffd3b8b,Frontal
-0.05,0.9,-0.05,ZFM-04820,04954136-75a8-4a20-9054-37b0bffd3b8b,Frontal
-0.03,0.92,-0.03,ZFM-04820,04954136-75a8-4a20-9054-37b0bffd3b8b,Frontal
-0.01,0.88,-0.01,ZFM-04820,04954136-75a8-4a20-9054-37b0bffd3b8b,Frontal
0.01,0.84,0.01,ZFM-04820,04954136-75a8-4a20-9054-37b0bffd3b8b,Frontal
0.03,0.88,0.03,ZFM-04820,04954136-75a8-4a20-9054-37b0bffd3b8b,Frontal
0.05,0.9,0.05,ZFM-04820,04954136-75a8-4a20-9054-37b0bffd3b8b,Frontal
0.07,0.9,0.07,ZFM-04820,04954136-75a8-4a20-9054-37b0bffd3b8b,Frontal
0.09,0.92,0.09,ZFM-04820,04954136-75a8-4a20-9054-37b0bffd3b8b,Frontal
0.11,0.92,0.11,ZFM-04820,04954136-75a8-4a20-9054-37b0bffd3b8b,Frontal
0.13,0.92,0.13,ZFM-04820,04954136-75a8-4a20-9054-37b0bffd3b8b,Frontal
0.15000000000000002,0.92,0.15000000000000002,ZFM-04820,04954136-75a8-4a20-9054-37b0bffd3b8b,Frontal
0.16999999999999998,0.92,0.16999999999999998,ZFM-04820,04954136-75a8-4a20-9054-37b0bffd3b8b,Frontal
0.19,0.94,0.19,ZFM-04820,04954136-75a8-4a20-9054-37b0bffd3b8b,Frontal
0.21000000000000002,0.92,0.21000000000000002,ZFM-04820,04954136-75a8-4a20-9054-37b0bffd3b8b,Frontal
